"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","cluster","label"
"40","HALLMARK_UV_RESPONSE_UP",0.757378118375999,0.94608386227071,0.307862722647624,0.872273608846224,4644,154,"Col2a1, Tst, Dlg4, Kcnh2, Tap1, Asns, Mapk8ip2, Ptprd, Ago2, Cxcl1, Car2, Pdlim3, Fos, Btg3, Pole3, Tfrc, Wiz, Ccne1, Bak1, Il6, Fkbp4, Ggh, Tyro3, Nr4a1, Cdc34, Rrad","RibovsBMS","Ribo_vs_DMSO"
"41","HALLMARK_NOTCH_SIGNALING",0.775788767061983,0.94608386227071,-0.342321192986325,-0.792305181951852,3466,32,"Heyl, St3gal6, Notch3, Fzd5, Lfng","RibovsBMS","Ribo_vs_DMSO"
"42","HALLMARK_ANGIOGENESIS",0.805367613892648,0.958770968919819,-0.3314726069375,-0.782823415832268,3570,36,"Jag2, Lrpap1, Lpl, Lum, Pdgfa, Nrp1, Msx1, Postn, Col5a2, Kcnj8, Fstl1, Col3a1","RibovsBMS","Ribo_vs_DMSO"
"43","HALLMARK_IL2_STAT5_SIGNALING",0.877220812182741,0.968633097490234,0.286241738282283,0.833519209902798,5529,198,"Gbp3, Slc2a3, Hk2, Plagl1, Ncs1, Bhlhe40, Map6, Rragd, Igf1r, Car2, Tnfrsf9, Itgav, Ikzf4, Plscr1, Pus1, Spry4, Ifitm3, Spred2, Cxcl10, St3gal4, Etfbkmt, Fah, Ccne1, Galm, Tiam1, Itga6, Maff, Il1rl1, Rgs16, F2rl2, Praf2, Odc1, Nop2, Socs2, P4ha1, Uck2, Syt11, Cdcp1, Scn9a, Bmp2, Ndrg1, Cish, Ptger2, Ikzf2, Bcl2l1","RibovsBMS","Ribo_vs_DMSO"
"44","HALLMARK_MITOTIC_SPINDLE",0.891142449691016,0.968633097490234,0.284217631719544,0.828346418296201,5623,199,"Ccnb2, Racgap1, Pif1, Plk1, Aurka, Gemin4, Espl1, Cdk5rap2, Abr, Dlgap5, Lmnb1, Tpx2, Kif3c, Ezr, Cdc42ep4, Kif22, Ckap5, Cdk1, Nf1, Incenp, Kif2c, Tiam1, Fscn1, Apc, Prc1, Numa1, Ect2, Myh10, Fgd4, Farp1, Dst, Shroom2, Csnk1d, Anln, Bin1, Nek2, Shroom1, Kifap3, Kntc1, Cep72, Sass6, Kif11, Bcr, Rfc1, Top2a, Tubgcp2, Wasl, Wasf2, Kif4, Tsc1, Net1, Cep192, Nusap1, Dync1h1, Vcl, Clasp1","RibovsBMS","Ribo_vs_DMSO"
"45","HALLMARK_UV_RESPONSE_DN",0.854560260586319,0.968633097490234,0.292963181514432,0.824996276659076,5246,144,"Igfbp5, Ica1, Bhlhe40, Vldlr, Syne1, Slc7a1, Mgll, Igf1r, Mgmt, Fzd2, Magi2, Mta1, Ldlr, Cited2, Akt3, Ptpn21, Arhgef9, Map1b, Abcc1, Sipa1l1, Cdkn1b, Map2k5, Kalrn, Ptprm, Kit, Gja1, Atp2b4, Pex14, Wdr37, Irs1, Tent4a","RibovsBMS","Ribo_vs_DMSO"
"46","HALLMARK_PEROXISOME",0.85985868102288,0.968633097490234,0.299528257341347,0.805256922049867,5110,101,"Crabp2, Dlg4, Abcc8, Ywhah, Ech1, Dhcr24, Idh2, Slc27a2, Idi1, Cadm1, Aldh9a1, Rdh11, Nudt19, Fdps, Ercc1, Pex14, Smarcc1, Fis1, Retsat, Pex5, Top2a, Cnbp, Fads1","RibovsBMS","Ribo_vs_DMSO"
"47","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.911204551075934,0.969366543697802,-0.280304881436686,-0.787629836044143,3683,105,"Mknk2, Map2k3, Rps6ka1, Cab39l, Pikfyve, Them4, Adcy2, Pten, Mapk9, Cab39, Il4, Prkag1, Mknk1, Ripk1, Fasl, Pik3r3, Nck1, Sfn, Rit1, Prkcb, Arpc3, Grk2, Mapk8, Grb2, Vav3","RibovsBMS","Ribo_vs_DMSO"
"48","HALLMARK_PROTEIN_SECRETION",0.954312990112513,0.971704957678356,0.276074678133053,0.733670069610408,5597,94,"Scrn1, Ica1, Sspn, Tom1l1, Ap3b1, Stam, Cd63, Egfr, Atp1a1, Ap2b1, Gbf1, Dst, Bnip3, Anp32e, Napa","RibovsBMS","Ribo_vs_DMSO"
"49","HALLMARK_TGF_BETA_SIGNALING",0.952193084242284,0.971704957678356,-0.27765928606312,-0.699318990900058,4102,53,"Fnta, Id3, Eng, Tgfbr1, Arid4b, Xiap, Ski, Ifngr2, Wwtr1, Tgfb1, Trim33, Smad7, Bcar3, Ppm1a, Smurf2","RibovsBMS","Ribo_vs_DMSO"
"50","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.971704957678356,0.971704957678356,-0.264148278429534,-0.720925791369698,4017,85,"Tnf, Pik3r5, Ifngr1, Ptpn2, Ptpn1, Il10rb, Map3k8, Csf2ra, Ifngr2, Tnfrsf1b, Tnfrsf12a, Tgfb1, Grb2, Cd36, Il15ra, Ifnar1, Lepr, Pim1, Il18r1","RibovsBMS","Ribo_vs_DMSO"
