"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","cluster","label"
"11","HALLMARK_IL2_STAT5_SIGNALING",0.0028191249436175,0.0117313775244186,-0.526360046191877,-1.46289467937628,24,198,"Gbp3, Fah, Bmp2, Tnfrsf9, Ptger2, Ccnd2, Hk2, Ncs1, Plscr1, Ifitm3, Cxcl10, Lif, Lrrc8c, Slc2a3, Plagl1, Itga6, Pus1, Spred2, Socs2, Slc39a8, Ckap4, Bhlhe40, Map6, Tiam1, Slc1a5, Hipk2, Ndrg1, Emp1, Flt3l, Galm, Itgav, Klf6, Maff, Myo1c, Spry4, Tnfrsf18, Glipr2, F2rl2, Enpp1, Cdc6, Gucy1b1, Anxa4, Adam19, P2rx4, Igf1r, Ttc39b, Plin2, Itgae, Dhrs3, Cdcp1, Tnfsf10, Car2, Cish, Rgs16, Etfbkmt, Tlr7, Ikzf4, Xbp1, Snx9, Muc1, Il4ra, Capg, Ecm1, Etv4, Pnp, Nt5e, Rragd, Ikzf2, Cyfip1, She, P4ha1, Smpdl3a, Pth1r, Dennd5a, Traf1, St3gal4, Cd48, Socs1, Rnh1, Ptrh2, Ccne1, Bcl2l1, Icos, Ctsz, Furin, Huwe1, Umps, Nrp1, Fgl2, Scn9a, Il1rl1","BMS","BMS_vs_DMSO"
"12","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00259330251437592,0.0117313775244186,-0.527860813828245,-1.4660696476641,22,195,"Id2, Ccnd1, Serpinb8, Ifih1, Bmp2, Il7r, Tnfrsf9, Jag1, Tap1, Ldlr, Cxcl1, Inhba, Cxcl10, Fjx1, Lif, Slc2a3, Fosl1, Pfkfb3, Egr2, Hes1, Il18, Tnfaip3, Slc16a6, Bhlhe40, Sphk1, Tnfaip6, Trib1, Ptx3, B4galt1, Stat5a, Serpinb2, Klf9, Plpp3, Ccrl2, Ptgs2, Irf1, Nfkb1, Cdkn1a, Ackr3, Il15ra, Fosl2, Birc3, Klf6, Maff, Trip10, Tnfsf9, Tnfaip8, Serpine1, Cxcl5, Zc3h12a, Kdm6b, Tgif1, Il23a, Litaf, Dusp4, Per1, Socs3, Il1b, Plk2, Il6, Ptpre, F2rl1, Olr1, Pde4b, B4galt5, Nr4a3, Nampt, Gpr183, Cebpb, Cd80, Btg3, Yrdc, Plaur, Plau, Nfkb2, Bcl3, Clcf1, Ier3, Dennd5a, Traf1, Dram1, Il1a, Tnip2, Rela, Cxcl11, F3","BMS","BMS_vs_DMSO"
"13","HALLMARK_ALLOGRAFT_REJECTION",0.00283897342720872,0.0117313775244186,-0.533833377657257,-1.47630131374325,24,185,"Tlr3, Hdac9, Stat1, Psmb10, Bcat1, Tap1, Ccr2, Ccnd2, Tap2, Ereg, Inhba, Nos2, Irf7, Inhbb, Lif, Egfr, Map4k1, Il18, Ccr5, Brca1, B2m, Tapbp, Itgal, Akt1, Ccl22, Hcls1, Gcnt1, Nlrp3, Il2rg, Tlr1, Cd1d2, Il1b, Il6, Flna, Igsf6, Ccr1, Ifnar2, Cxcr3, H2-DMb2, Ncf4, Il4ra, Capg, Cd80, Cfp, Ccl11, H2-Ob, Eif5a, Fgr, Bcl3, Il16, Thy1, Eif3a, C2, Mrpl3, Prkcb, Hif1a, Socs1, St8sia4, Ccl7, Was, Tlr6, Ncr1, Tlr2, Ifngr2, Csf1, Ctss, Csk, Icam1, Timp1, Il2ra, Il11, Apbb1, Srgn, Eif3j1, Gpr65, Elf4, Eif3d, Il2rb, Jak2, Nme1, Fas, Gzma","BMS","BMS_vs_DMSO"
"14","HALLMARK_MYC_TARGETS_V2",0.00399095383796727,0.0142534065641688,-0.65790612818547,-1.59899266133296,29,57,"Hk2, Utp20, Tmem97, Map3k6, Tcof1, Plk1, Pus1, Mcm4, Plk4, Mcm5, Pprc1, Srm, Mybbp1a, Grwd1, Ppan, Rrp12, Tbrg4, Pa2g4, Slc19a1, Pes1, Nolc1, Gnl3, Ung, Wdr43, Ddx18, Rrp9, Rabepk, Noc4l, Mrto4, Hspd1, Bysl, Wdr74","BMS","BMS_vs_DMSO"
"15","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00621328513330321,0.020710950444344,-0.512904106938387,-1.42269736736523,54,193,"Id2, Gpx7, Adam12, Sntb1, Fbln1, Myl9, Loxl1, Lamc2, Wnt5a, Oxtr, Gja1, Dst, Inhba, Efemp2, Cald1, Dpysl3, Tnfaip3, Ptx3, Vegfc, Fbn2, Vcam1, Plod3, Igfbp3, Mylk, Wipf1, Lrrc15, Serpinh1, Nnmt, Acta2, Itgav, Itgb3, Sgcd, Col12a1, Sdc1, Fstl3, Sfrp4, Cadm1, Abi3bp, Gas1, Plod2, Lama1, Serpine1, Itga2, Vcan, Mmp14, Lama3, Tfpi2, Cxcl5, Cxcl12, Col16a1, Thbs1, Fmod, Grem1, Il6, Mmp3, Colgalt1, Flna, Rgs4, Cthrc1, Glipr1, Lox, Lrp1, Fbln5, Timp3, Itga5, Mcm7, Pvr, Capg, Vim, Ecm1, Slit3, Nt5e, Plaur, Mmp2, Fbln2, Thy1, Nid2, Fstl1, Tgfbr3, Plod1, Tgfbi, Col3a1, Pcolce, Prrx1, Pcolce2, Pdlim4, P3h1, Col5a1, Lamc1, Col4a1, Col1a1, Eln, Col5a3, Dab2, Qsox1, Tnfrsf11b, Serpine2, Spock1, Tpm4, Emp3, Igfbp4, Comp, Tnc, Notch2, Foxc2, Col6a3, Col6a2, Vegfa","BMS","BMS_vs_DMSO"
"16","HALLMARK_APICAL_SURFACE",0.0139275766016713,0.0435236768802228,-0.64982503324014,-1.51611463217433,99,44,"Pcsk9, Ntng1, Sulf2, Afap1l2, Atp8b1, Brca1, B4galt1, Srpx, Ncoa6, Flot2, Rtn4rl1, Gas1, Il2rg","BMS","BMS_vs_DMSO"
"17","HALLMARK_HEDGEHOG_SIGNALING",0.0370317618572853,0.108916946639074,-0.639800539538639,-1.44896207826201,259,36,"Hey2, Vldlr, Gli1, Tle3, Pml, Slit1, Adgrg1, Cdk6, Celsr1, L1cam, Cntfr, Ophn1, Myh9, Nf1, Thy1, Nrp2, Nrcam, Hey1, Nrp1, Unc5c","BMS","BMS_vs_DMSO"
"18","HALLMARK_P53_PATHWAY",0.0405643738977072,0.111956741820607,0.363689512677893,1.23259159553495,45,198,"H1f2, Coq8a, Hexim1, Gadd45a, Csrnp2, Mknk2, Baiap2, Cdkn2aip, Ercc5, Cdk5r1, Txnip, Cdkn2b, Tspyl2, Tob1, Tprkb, Btg2, Ier5, Slc19a2, Nudt15, Trafd1, Dgka, Fuca1, Iscu, Xpc, Tsc22d1, Pdgfa, Prmt2, H2aj, Ldhb, Hdac3, Sesn1, Ei24, Ankra2, Rchy1, Ip6k2, Pmm1, Btg1, Fbxw7, Tnni1, Cebpa, Mxd4, Wrap73, Rap2b, Traf4, Sat1, Gls2, Cgrrf1, Triap1, Zmat3, Tax1bp3, Blcap, Ppm1d, Ctsf","BMS","BMS_vs_DMSO"
"19","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0425435618918307,0.111956741820607,-0.468150546021564,-1.29705651254549,375,191,"Car12, Id2, Ccnd1, Cyp26b1, Homer2, Celsr2, Kif20a, Lamc2, Gper1, Myb, Pdlim3, Tst, Slc29a1, Slc27a2, Slc26a2, Isg20, Hr, Krt19, Plk4, Farp1, Tiam1, Fabp5, Cacna2d2, Top2a, Ccn5, Cdc20, Ccna1, Ass1, Impa2, St6galnac2, Emp2, Gla, Slc24a3, Atp2b4, Dlg5, Tfpi2, Cdc6, Ptges, Frk, Fdft1, Aldh3b1, Cxcl12, Papss2, Prss23, Car2, Cish, Xbp1, Pcp4, Pgr, Ugdh, Aldh3a2, Plxnb1, Btg3, Anxa9, Trim29, Fkbp4, Snx10, Th","BMS","BMS_vs_DMSO"
"20","HALLMARK_KRAS_SIGNALING_UP",0.0493910690121786,0.123477672530447,-0.462595259354279,-1.28567536329947,437,198,"Kcnn4, Hdac9, Id2, Bmp2, Igf2, Il7r, Sparcl1, Psmb8, Adamdec1, Mall, Ccnd2, Ereg, Spon1, Inhba, Cxcl10, Gypc, Rbp4, Lif, Akap12, Map4k1, Cxcr4, Tnfaip3, Epb41l3, Trib1, Prdm1, Igfbp3, Etv1, Ptgs2, Emp1, St6gal1, Birc3, Gpnmb, Adgra2, Csf2ra, Itga2, Il2rg, Il33, C3ar1, Ano1, Il1b, Cbl, F2rl1, Car2, Rgs16, Hsd11b1, Usp12, Pcp4, Vwa5a, Etv4, Yrdc, Plaur, Akt2, Plau, Ero1a, Adam8, Prkg2, Nin, Traf1, Angptl4, Dnmbp, Prrx1, Clec4a3, Aldh1a2, Prelid3b, Dusp6, Il1rl2, Slpi","BMS","BMS_vs_DMSO"
