pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,cluster,label
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.488540262287045,0.6106753278588063,-0.37790803665802364,-0.9911306066242241,3985,105,,BMS,BMS_vs_DMSO
HALLMARK_APICAL_JUNCTION,0.48122674484158307,0.6106753278588063,-0.35889356794644633,-0.9973135218569273,4267,197,,BMS,BMS_vs_DMSO
HALLMARK_XENOBIOTIC_METABOLISM,0.5363235792565811,0.654053145434855,-0.35098296836823045,-0.9732075173090675,4746,192,,BMS,BMS_vs_DMSO
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.5683479532163743,0.6711409395973156,-0.360846945093566,-0.9491811954992796,4664,108,,BMS,BMS_vs_DMSO
HALLMARK_APOPTOSIS,0.5771812080536913,0.6711409395973156,-0.34815669760043455,-0.9516368528418411,4987,161,,BMS,BMS_vs_DMSO
HALLMARK_PEROXISOME,0.5926612305411416,0.6734786710694791,-0.35877104791450826,-0.9365742466696508,4796,101,,BMS,BMS_vs_DMSO
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.631593444429142,0.7017704938101578,-0.38051255560015207,-0.8980712633163623,4585,48,,BMS,BMS_vs_DMSO
HALLMARK_ADIPOGENESIS,0.7321831303563374,0.7958512286481928,-0.31853498549789855,-0.8852935150594818,6492,198,,BMS,BMS_vs_DMSO
HALLMARK_KRAS_SIGNALING_DN,0.8294170808856756,0.8823585966868889,-0.3017130077877432,-0.8368938678259222,7341,193,,BMS,BMS_vs_DMSO
HALLMARK_PROTEIN_SECRETION,0.8565901148277584,0.8922813696122484,-0.30451836426154105,-0.7882203711200305,6862,94,,BMS,BMS_vs_DMSO
HALLMARK_UV_RESPONSE_UP,0.8902978129362494,0.9084671560573974,-0.28850201914144,-0.7857728107587916,7652,154,,BMS,BMS_vs_DMSO
HALLMARK_SPERMATOGENESIS,0.9317884729649436,0.9317884729649436,-0.28012556314730475,-0.7524340250327731,7840,134,,BMS,BMS_vs_DMSO
