"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","cluster","label"
"11","HALLMARK_MYOGENESIS",0.00798801797304044,0.0363091726047293,0.442438665771297,1.47691457082812,15,198,"Myoz1, Atp2a1, Lama2, Acta1, Itgb5, Des, Csrp3, Mapre3, Mylpf, Tnni2, Col4a2, Myl1, Myh4, Ckm, Sptan1, Ocel1, Pdlim7, Adcy9, Myh11, Pygm, Acsl1, Mylk, Dmpk, Cacna1h, Sgcg, Ephb3, Tnnt3, Prnp, Tcap, Sorbs1, Large1, Actn2, Pgam2, Col6a3, Myom1, Casq1, Agl, Slc6a8, Ncam1, Col6a2, Fgf2, Tsc2, Ldb3, Mb, Speg, Myh1, Spdef, Igfbp7, Dapk2, Col15a1, Ryr1, Cdh13, Actn3, Tpm2, Sparc, Nos1, Col1a1, Gsn, Cfd, Tagln, Foxo4, Psen2, Reep1, Fabp3, Rb1, Ifrd1, Tgfb1, Ckmt2, Cd36, Itgb1, Myom2, Mybph, Sh2b1","CombovsRibo","Combo_vs_Ribo"
"12","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0104137348719392,0.0433905619664134,-0.556785836787917,-1.50106038409367,73,85,"Il1b, Cxcl10, Irf9, Ltb, Stat1, Il6, Cntfr, Cxcl2, Cxcl13, Irf1, Hax1, Bak1, Csf3r, Socs3, Ccl7, Tlr2, Ccr1, Il2ra, Cd14, Ltbr, Jun, Il1r2, Cxcl9, Ebi3, Itga4, Acvr1b, Pim1","CombovsRibo","Combo_vs_Ribo"
"13","HALLMARK_HEDGEHOG_SIGNALING",0.023764557758892,0.0914021452265078,-0.634020492446864,-1.49835551611341,150,36,"Adgrg1, Gli1, Vldlr, Cdk6, Vegfa, Pml, Cntfr, Tle3, Nrcam, Slit1, Hey2, Hey1, Celsr1, Crmp1, Ache, Tle1, Nf1","CombovsRibo","Combo_vs_Ribo"
"14","HALLMARK_PROTEIN_SECRETION",0.0256688358640636,0.0916744138002273,0.482286575655198,1.47375820993827,70,94,"Krt18, Atp6v1b1, Abca1, Dop1a, Ap3s1, Ocrl, Adam10, Atp7a, Sgms1, Uso1, Yipf6, Kif1b, Sec24d, Cln5, Snap23, Scamp1, Mon2, Arfgef1, Stx7, Igf2r, Stx16, Golga4, Dnm1l, Cog2, Tmx1, Gosr2, Tspan8, Sh3gl2","CombovsRibo","Combo_vs_Ribo"
"15","HALLMARK_GLYCOLYSIS",0.0310783824263605,0.103594608087868,-0.447815642563536,-1.32442007780554,248,199,"Chst5, Galk1, Hk2, Ak4, Ldha, Rragd, Vldlr, Slc25a13, Tpi1, Mif, Cdk1, Slc16a3, Me1, Cth, Aldoa, Pgk1, Aurka, Slc37a4, Vegfa, Gys1, Pgam1, Ddit4, Cenpa, Kif20a, Pkm, Cxcr4, Nsdhl, Prps1, Egln3, Lhx9, Hax1, Got2, Sdc2, Ndufv3, Isg20, Gpc4, Ecd, Fam162a, Nt5e, Fkbp4, Ankzf1, Cited2, Ak3, Stmn1, Gfus, Plod2, Aldh9a1, Fut8, Nasp, Med24, P4ha1, Rbck1, Egfr","CombovsRibo","Combo_vs_Ribo"
"16","HALLMARK_ALLOGRAFT_REJECTION",0.0363567744370361,0.113614920115738,-0.44775271043274,-1.31574636216988,288,185,"Il1b, Hdac9, Lck, Tap1, Bcat1, Tap2, Tlr3, Ltb, Psmb10, Ccr5, Stat1, Il6, Irf7, B2m, Il18rap, Cxcl13, Zap70, Nlrp3, Il10, Nos2, Itgal, Mrpl3, Inhba, Gzma, Eif5a, Eif3d, Ccl22, Cdkn2a, Ccr2, Brca1, Apbb1, Ccl5, Npm1, Ccl7, Cd80, Tlr2, Egfr, Map4k1, Lif, Cd2, Ccr1, Il2ra, Prf1, Ache, Akt1, Ereg, Fgr","CombovsRibo","Combo_vs_Ribo"
"17","HALLMARK_ANDROGEN_RESPONSE",0.0684684684684685,0.19019019019019,0.429934107466322,1.31716640829714,189,95,"Krt8, Mertk, Sat1, Selenop, Pdlim5, H1f0, Ank, Ngly1, Gucy1a1, Fkbp5, Plpp1, Gpd1l, Pgm3, Lifr, Herc3, Tmem50a, Sec24d, Cenpn, Abhd2, Spdef, Ncoa4, Arxes2, Pias1, Sgk1, Tsc22d1, Ell2","CombovsRibo","Combo_vs_Ribo"
"18","HALLMARK_IL2_STAT5_SIGNALING",0.0656332041505188,0.19019019019019,-0.427225831929283,-1.26298983946443,524,198,"Gbp3, Cxcl10, Slc2a3, Ifitm3, Ltb, Hk2, Bhlhe40, Rragd, Maff, Tnfrsf9, Flt3l, Plscr1, Ncs1, Slc39a8, Pus1, Car2, Igf1r, Spred2, Cdc6, Abcb1a, Socs2, Cst7, Il10, Plagl1, Etv4, St3gal4, Galm, Etfbkmt, Ccne1, Ikzf4, Map6, Nt5e, Slc1a5, Batf, Scn9a, Itgav, Itga6, Uck2, Ndrg1, Fgl2, Fah, Ptrh2, Rgs16, P4ha1, Nop2, Spry4, Lif, Pdcd2l, Il1rl1, Il2ra, Dcps, Cish, Bcl2l1, Slc29a2, Praf2, Lrrc8c, Penk, Cdkn1c, Odc1, Il1r2","CombovsRibo","Combo_vs_Ribo"
"19","HALLMARK_P53_PATHWAY",0.0753869196205691,0.198386630580445,0.368865491942944,1.23131828629061,150,198,"H1f2, Txnip, Hexim1, Sat1, Mknk2, Cyfip2, Csrnp2, Fuca1, Baiap2, Ercc5, Cdkn2aip, Gadd45a, Cebpa, Cdkn2b, Trafd1, Xpc, Tax1bp3, Kif13b, Dgka, Coq8a, Sesn1, Jag2, Pitpnc1, Sfn, Pdgfa, Tspyl2, Abcc5, Slc19a2, Cdk5r1, Mxd4, Ier5, Tprkb, Gls2, Apaf1, Ddb2, Prmt2, Btg1, Ctsd, Dcxr, Rnf19b, Ccnd2, Gm2a, Btg2, F2r, Iscu, Wwp1, Ccng1, Tob1, Mxd1, Cdh13, Cgrrf1, H2aj, Casp1, Rap2b, Tsc22d1, Ei24, Nudt15, Rb1, Fbxw7, Tgfb1, Zmat3, Hspa4l, Ppm1d","CombovsRibo","Combo_vs_Ribo"
"20","HALLMARK_APICAL_SURFACE",0.117728319263239,0.294320798158097,-0.529680476113876,-1.29339748792706,766,44,"Pcsk9, Ntng1, Hspb1, Rtn4rl1, Gstm5, Brca1, Mal, Gas1, Ncoa6, Shroom2, B4galt1, Atp8b1, Crybg1","CombovsRibo","Combo_vs_Ribo"
