"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge","cluster","label"
"11","HALLMARK_MYC_TARGETS_V2",0.00106786900806834,0.00485395003667429,-0.680822754329008,-1.63854101065172,8,57,"Ung, Map3k6, Hk2, Mcm4, Mcm5, Pus1, Utp20, Tcof1, Tmem97, Plk4, Srm, Plk1, Grwd1, Pa2g4, Mrto4, Pprc1, Nop16, Mybbp1a, Rrp9, Ppan, Pes1, Rabepk, Slc19a1, Tbrg4, Gnl3, Dusp2, Dctpp1, Nolc1, Hspd1, Noc4l, Rrp12, Npm1, Wdr43, Wdr74, Bysl, Slc29a2, Cdk4, Nop2","Combo","Combo_vs_DMSO"
"12","HALLMARK_HYPOXIA",0.0016554578375582,0.00689774098982583,-0.537624967020781,-1.43912676254725,15,198,"Ccn5, Chst3, Isg20, Cp, Car12, Plac8, Tgfbi, Il6, Maff, Vldlr, Adm, Cdkn1a, Gcnt2, Slc2a3, Galk1, Has1, Hk2, Pgf, Cavin3, Ak4, Ndrg1, Tnfaip3, Pfkfb3, Ldha, Jmjd6, Ackr3, Bhlhe40, Stc2, Ilvbl, Srpx, Tpi1, Ampd3, Cxcr4, Akap12, Tmem45a, Slc2a1, Egfr, Dtna, Adora2b, Scarb1, Sdc3, Pfkp, Pgk1, Gys1, Gpi1, Klf6, Gpc4, Plaur, Fbp1, Mif, Sdc2, Tgfb3, Pim1, Tes, F3, P4ha2, Rragd, Serpine1, Vegfa, Pgm1, Cav1, Kdelr3, Aldoa, Eno1b, Zfp36, Tgm2, Ppfia4, Lox, Atf3, Fosl2, Plin2, Pdk1, Fos, Nfil3, Hk1, Fam162a, Myh9, Gapdhs, Hexa, Ero1a, Slc37a4, Igfbp3, P4ha1, Ndst1, Stbd1, Tpbg, Ier3, Aldoc, Kdm3a, Ndst2, Ppargc1a, Nedd4l, Cdkn1b, Gck, Cavin1, Nr3c1, Dcn, Stc1, Ccn1, Anxa2, Grhpr, Pfkl, Gpc3, Hmox1, Pdgfb, Rbpj, Sdc4, Col5a1, Errfi1, Lalba, Glrx, Tpd52, Jun, Ugp2, Sap30, Ccn2","Combo","Combo_vs_DMSO"
"13","HALLMARK_KRAS_SIGNALING_UP",0.0024831867563373,0.00925432361999526,-0.530039561890255,-1.41882197724571,23,198,"Il1b, Kcnn4, G0s2, Cxcl10, Adamdec1, Hdac9, Clec4a3, Psmb8, Birc3, Aldh1a3, Gypc, Id2, Abcb1a, Lif, Rbp4, Il7r, Ppbp, Hsd11b1, Prkg2, Sparcl1, Ptgs2, Inhba, Tnfaip3, Trib1, Tmem100, Epb41l3, Traf1, Sema3b, Itga2, C3ar1, Map4k1, Tnnt2, Cxcr4, Ereg, Akap12, Slpi, Etv4, Mall, Etv1, Bmp2, Emp1, Il1rl2, Tmem176b, Plaur, St6gal1, Prelid3b, Ngf, Adgra2, Gprc5b, Car2, Mmp9, Gng11, Ikzf1, Tmem176a, F2rl1, Arg1, Igf2, Csf2ra, Prrx1, Il2rg, Klf4, Ccnd2, Aldh1a2, Rgs16, Retn, Prdm1, Cfb, Ptbp2, Lcp1, Ero1a, Vwa5a, Igfbp3, F13a1, Ctss, Ano1, Il33, Eng, Cd37, Mmp10, Yrdc, Dusp6","Combo","Combo_vs_DMSO"
"14","HALLMARK_MYC_TARGETS_V1",0.00259121061359867,0.00925432361999526,-0.53706182034591,-1.43401419424492,24,186,"Mcm2, Cdc45, Mcm4, Mcm6, Mcm5, Tyms, Hdgf, Ldha, Hnrnpa1, Dut, Pcna, Pold2, Apex1, Srm, Rfc4, Rrm1, Pgk1, Cdc20, Pa2g4, Usp1, Ccna2, Mcm7, Mrps18b, Nop16, Rrp9, Fbl, Snrpd1, Ranbp1, Nap1l1, Prps2, Tufm, Nhp2, Ruvbl2, C1qbp, Exosc7, Prdx4, Hnrnpd, Psmd14, Psma6, Eif2s1, G3bp1, Ran, Hnrnpr, Kpnb1, Got2, Snrpa1, Cdk2, Psma1, Snrpb2, Canx, Gnl3, Cnbp, Cct3, Mrpl23, Eif3d, Eif2s2, Lsm2, Nolc1, Tfdp1, Hspd1, Gspt1, Pcbp1, Xpot, Ube2e1, Npm1, Mad2l1, Pole3, Ncbp2, Prpf31, Etf1, Xpo1, Eif4a1, Phb2, Psma2, Snrpd3, Rpl14, Tardbp, Cdk4, Rps3, Dek, Hnrnpa2b1, Srsf1, Cct7, Tcp1, Snrpa, Acp1, Ddx18, Psmc4, Rpl18, Hsp90ab1, H2az1, Cul1, Rps5, Cstf2, Rad23b, Clns1a, Fam120a, Abce1, Rps6, Cct4, Ssbp1, Rsl1d1, Prdx3, Ncbp1, Tomm70a, Psmd1, Cct5, Psmb2, Hnrnpu, Pwp1, Bub3, Uba2, Serbp1, Rpl6","Combo","Combo_vs_DMSO"
"15","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00372632232688128,0.0124210744229376,-0.525932265162275,-1.40585294418302,35,193,"Sfrp4, Lamc2, Oxtr, Sntb1, Nnmt, Id2, Tgfbi, Vcam1, Fbln1, Loxl1, Gpx7, Gja1, Vegfc, Myl9, Il6, Pcolce2, Cxcl5, Wnt5a, Inhba, Tnfaip3, Timp3, Nt5e, Ptx3, Dpysl3, Itga2, Acta2, Adam12, Cxcl12, Serpinh1, Glipr1, Rgs4, Tnfrsf11b, Sgcd, Abi3bp, Dst, Cap2, Spock1, Cald1, Wipf1, Efemp2, Pdlim4, Plod3, Plod2, Mcm7, Plaur, Ecm1, Thy1, Cthrc1, Tpm4, Fstl3, Fmod, Fap, Sdc1, Pmp22, Serpine1, Vegfa, Gas1, Fas, Fbln5, Itgb3, Pcolce, Prrx1, Nid2, Ecm2, Mfap5, Emp3, Itga5, Fbn2, Tgm2, Cadm1, Lox, Thbs1, Lama3, Capg, Fstl1, Tgfbr3, Col3a1, Vim, Lama1, Mmp3, Igfbp3, Pvr, Mest, Gem, Col16a1, Dab2, Itgav","Combo","Combo_vs_DMSO"
"16","HALLMARK_APICAL_SURFACE",0.0140268123138034,0.0438337884806356,-0.641043001625301,-1.49044124606944,112,44,"Pcsk9, Ntng1, Mal, Crybg1, Rtn4rl1, Atp8b1, Brca1, Afap1l2, Srpx, Sulf2, B4galt1, Il2rb, Plaur, Thy1, Hspb1, Gas1","Combo","Combo_vs_DMSO"
"17","HALLMARK_COMPLEMENT",0.0153526970954357,0.0451549914571638,-0.503505734132458,-1.34365507465418,147,185,"Pcsk9, Me1, Mmp8, Cp, Psmb9, Irf7, Pik3cg, Il6, Gzma, Maff, Plscr1, Src, Lck, Gpd2, Serpinb2, Dpp4, S100a9, Kcnip3, Tnfaip3, Irf1, Casp4, Pik3r5, Ang, Itgam, Cebpb, C3, Spock2, Gnb4, C2, Dock10, L3mbtl4, Hspa1a, Serping1, Ccl5, Plaur, Ctsc, F10, Prkcd, Prdm4, Pla2g4a, Pim1, Pfn1, Klk1, F3, Car2, S100a13, C1s1, Serpine1, Was, Dgkg, Casp7, Lap3, Cda, Mmp12, Notch4, Ppp4c","Combo","Combo_vs_DMSO"
"18","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0177924899141409,0.0494235830948358,-0.496842887605773,-1.32919632653998,171,195,"Ablim1, Ccn5, Thsd4, Pdlim3, Cyp26b1, Myb, Syt12, Sybu, Frk, Greb1, Car12, Gja1, Endod1, Olfml3, Slc27a2, Wwc1, Hes1, Tsku, Celsr2, Bhlhe40, Sema3b, Stc2, Mreg, Anxa9, Retreg1, Cxcl12, Svil, Fdft1, Slc2a1, Papss2, Aldh3b1, B4galt1, Hr, Hspb8, Scarb1, Npy1r, Prss23, Ccnd1, Calb2, Mybbp1a, Gab2, Slc26a2, Mindy1, Zfp185, Ugcg, Ttc39a, Celsr1, Adcy1, Dlc1, Ret, Cish, P2ry2, Kcnk5, Tmem164, Bcl11b, Fhl2, Klf4, Tgm2, Nxt1, Klf10, Igf1r, Slc39a6, Rara, Fos, Mpped2, Fkbp4, Rbbp8, Slc24a3, Xbp1, Myof, Farp1, Pgr, Krt19, Tpbg, Rrp12, Rab17, Scnn1a, Plaat3, Ar, Gla, Dhrs3, Tiam1, Igfbp4, Opn3, Muc1, Mast4, Areg, Med24","Combo","Combo_vs_DMSO"
"19","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0253308519437552,0.0666601366940926,-0.489029283121879,-1.30724220537298,244,191,"Gper1, Ccn5, Batf, Pdlim3, Cyp26b1, Lamc2, Myb, Isg20, Id2, Frk, Car12, Cdc6, Slc29a1, Ccna1, Tst, Slc27a2, Homer2, S100a9, Gins2, Impa2, Celsr2, Sema3b, Emp2, Anxa9, Plk4, Cxcl12, Fdft1, Kif20a, Top2a, Papss2, Aldh3b1, Hr, Hspb8, Scarb1, Npy1r, Ptpn6, Cdc20, Prss23, Ccnd1, Fabp5, Idh2, Slc26a2, Lsr, Gal, Car2, Btg3, Ptger3, Perp, Ret, Cish, Kcnk5, Cav1, Atp2b4, Cxcl14, Zfp36, Klf4, Nxt1, Aldh3a2, St6galnac2, Fos, Dusp2, Fkbp4, Rbbp8, Slc24a3, Tnnc1, Xbp1, Cdh1, Myof, Ass1, Farp1, Pgr, Mest, Krt19, Tpbg, Scnn1a, Plaat3, Nab2, Gla, Th, Tiam1, Igfbp4, Tfpi2, Opn3, Areg, Snx10","Combo","Combo_vs_DMSO"
"20","HALLMARK_COAGULATION",0.0614924735774528,0.153731183943632,-0.488603702713388,-1.27768551929308,575,134,"Mmp8, Maff, Serpinb2, Vwf, Dpp4, Timp3, Itga2, Ang, C3, Ctse, C2, Prss23, Serping1, Capn2, F10, Pef1, F3, S100a13, C1s1, Mmp9, Serpine1, Pros1, Ctso, Itgb3, F2rl2, Thbd, Msrb2, Thbs1, Cfb, Mmp3, Wdr1, Pf4, Cfd, Gda, Mmp10, Anxa1, Dusp6, Ctsh, Tfpi2, Mmp2, Trf, Csrp1, Olr1, Tmprss6, Cfh, Pdgfb, Mmp14, Lgmn, Proz, Gsn, Gp1ba, Sirt2, Plau, Crip2, Hmgcs2, Clu, Cpq, Furin, Apoc1, Lamp2, Pecam1","Combo","Combo_vs_DMSO"
